Aberdeen,UK304
Aberdeenshire,UK305
Aberdeenshire,UK349
Adur,UK144
Allerdale,UK132
Amber Valley,UK318
Angus,UK413
Antrim and Newtownabbey,UK219
Antrim and Newtownabbey,UK456
Ards and North Down,UK123
Ards and North Down,UK189
Ards and North Down,UK214
Argyll and Bute,UK205
Argyll and Bute,UK283
"Armagh, Banbridge and Craigavon",UK430
Arun,UK169
Ashfield,UK265
Ashford,UK015
Aylesbury Vale,UK441
Babergh,UK095
Barking and Dagenham,UK395
Barnet,UK319
Barnsley,UK256
Barrow-in-Furness,UK406
Basildon,UK402
Basingstoke and Deane,UK088
Bassetlaw,UK158
Bath and North East Somerset,UK078
Bedford,UK423
Belfast,UK222
Bexley,UK199
Birmingham,UK351
Blaby,UK022
Blackburn with Darwen,UK337
Blackpool,UK099
Blaenau Gwent,UK165
Bolsover,UK365
Bolton,UK331
Boston,UK302
Bournemouth,UK236
Bracknell Forest,UK437
Bradford,UK197
Braintree,UK211
Breckland,UK473
Brent,UK344
Brentwood,UK227
Bridgend,UK340
Brighton and Hove,UK224
"Bristol, City of",UK300
Broadland,UK068
Bromley,UK206
Bromsgrove,UK313
Broxbourne,UK136
Broxtowe,UK260
Burnley,UK280
Bury,UK198
Caerphilly,UK085
Calderdale,UK082
Cambridge,UK146
Camden,UK001
Cannock Chase,UK309
Canterbury,UK033
Cardiff,UK491
Carlisle,UK328
Carmarthenshire,UK250
Castle Point,UK361
Causeway Coast and Glens,UK419
Central Bedfordshire,UK481
Ceredigion,UK229
Charnwood,UK077
Chelmsford,UK442
Cheltenham,UK223
Cherwell,UK276
Cheshire East,UK207
Cheshire West and Chester,UK303
Chesterfield,UK389
Chichester,UK026
Chiltern,UK090
Chorley,UK267
Christchurch,UK083
City of London,UK226
Clackmannanshire,UK439
Colchester,UK013
Conwy,UK249
Copeland,UK160
Corby,UK234
Cornwall,UK057
Cotswold,UK115
County Durham,UK043
Coventry,UK050
Craven,UK460
Crawley,UK241
Croydon,UK323
Dacorum,UK357
Darlington,UK490
Dartford,UK297
Daventry,UK246
Denbighshire,UK011
Derby,UK143
Derbyshire Dales,UK042
Derry and Strabane,UK427
Doncaster,UK470
Dover,UK416
Dudley,UK342
Dumfries and Galloway,UK272
Dundee,UK089
Ealing,UK346
East Ayrshire,UK111
East Cambridgeshire,UK185
East Devon,UK187
East Dorset,UK259
East Dunbartonshire,UK338
East Hampshire,UK014
East Hertfordshire,UK252
East Lindsey,UK434
East Lothian,UK457
East Northamptonshire,UK487
East Renfrewshire,UK028
East Riding of Yorkshire,UK148
East Riding of Yorkshire,UK210
East Staffordshire,UK104
East Staffordshire,UK171
Eastbourne,UK194
Eastbourne,UK296
Eastleigh,UK370
Eastleigh,UK251
Eden,UK415
Eden,UK289
Edinburgh,UK129
Edinburgh,UK064
Elmbridge,UK188
Elmbridge,UK458
Enfield,UK097
Enfield,UK004
Epping Forest,UK321
Epping Forest,UK399
Epsom and Ewell,UK271
Epsom and Ewell,UK455
Erewash,UK383
Erewash,UK356
Exeter,UK445
Exeter,UK286
Falkirk,UK353
Falkirk,UK409
Fareham,UK074
Fareham,UK465
Fenland,UK316
Fenland,UK023
Fermanagh and Omagh,UK480
Fermanagh and Omagh,UK173
Fife,UK182
Fife,UK201
Flintshire,UK142
Flintshire,UK039
Forest Heath,UK426
Forest Heath,UK145
Forest of Dean,UK372
Forest of Dean,UK117
Fylde,UK021
Fylde,UK061
Gateshead,UK264
Gateshead,UK073
Gedling,UK056
Gedling,UK461
Glasgow,UK463
Glasgow,UK358
Gloucester,UK030
Gloucester,UK076
Gosport,UK464
Gosport,UK322
Gravesham,UK151
Gravesham,UK168
Great Yarmouth,UK355
Great Yarmouth,UK396
Greenwich,UK163
Greenwich,UK377
Guildford,UK225
Guildford,UK435
Gwynedd,UK164
Hackney,UK138
Halton,UK204
Hambleton,UK084
Hammersmith and Fulham,UK121
Harborough,UK174
Haringey,UK128
Harlow,UK414
